addresskey,metro_dist,rail_dist,bus_dist,parks_dist,monument_dist,sports_dist
8198530000,122.614136623852,3204.37862389888,14.9259941042276,262.201877852165,688.982697661832,326.2094017652
8198659000,294.328048272671,1450.41373407728,28.3019433961698,624.110462934761,1055.23597884151,294.783587738562
8201704000,190.168346472277,520.21630116712,42.9534631898291,353.239539830706,3878.70615852867,59.6824932455071
8210115000,2021.85978742345,329.757486647385,71.0633520177595,1645.31350078225,2781.18139087398,2
8211571000,1184.04265125881,224.555115728856,34.928498393146,2405.99038445286,5799.08932296634,214.478437144623
8215457000,448.759401015734,588.572850206328,35.8050275799363,1133.52064052725,171.675905036193,100.021650156353
8276981000,568.588603473548,387.011627732294,53.0754180388624,1526.92086258986,477.321871483689,137.358896326335
8280363000,12481.5200605054,1720.57715339939,69.8800457927773,2776.59768628239,933.88563548908,275.81628904037
8282455000,4165.52818682098,235.924045404441,56.2280641672902,1509.45209276934,494.681576033888,83.6900292747189
8293990000,236.93459012985,114.612390255155,144.806767797641,949.965921757926,90.6072337793746,41.0121933088198
8312847000,461.527897314994,498.67925563432,78.2304288624318,109.798851026821,606.857958485252,219.100433591538
8338167000,4246.7917302359,633.107415846632,50.2493781056044,81.4739793184353,1681.48750962498,271.33005731028
8341060000,296.138481119898,254.876440653113,119.079805172834,455.552285692713,827.334182782308,117.885537705013
8341063000,391.414102965133,72.0902212508742,18.3847763108502,952.032019294342,2254.63563668517,31.5864844513816
8360825000,363.170265578021,638.453993487374,15.6659439549232,1608.67929304819,4350.80894548803,368.276393215737
8365964000,262.880216258249,262.880216258249,175.863265351263,1384.16649193803,1298.7892827065,14.6860818463952
8383531000,5696.76689008775,215.745220109276,317.718428801352,1058.67297601033,2831.87693531719,150.442680114388
8391994000,2539.39362840817,525.475974712451,73.8173421358423,321.242438871405,3070.11886469962,120.332871651931
8436280000,1570.73390489924,1036.07335647627,15.2315462117278,1093.63327406034,3380.50757026006,73.7563556583431
8455174000,97.082439194738,840.719929584163,113.145923479372,1306.38209176712,3525.81970521172,261.858740545356
8462718000,2278.29980467892,1119.03932013133,27.5862284482674,657.651528492643,1614.73372604028,78
8471094000,196.72569735548,219.920440159618,166.23477373883,1195.64994249974,425.149605315476,10.1980390271856
8495236000,3898.7210723518,533.352603818525,66.2117814289874,2962.38602449383,2000.85757112639,81.2711510931154
8502162000,33.1895842094614,1151.68605466078,99.5485233441096,677.062239154173,1821.18525079322,405.606941385373
8516545000,195.345847153196,196.163197363828,80.0562302385017,556.096349286641,3302.82997460095,67.0820393249937
8518667000,1056.28026583857,493.773227301765,84.5340168216322,1440.22467365685,2313.33271541717,196.735863532809
8526163000,416.713987766196,863.010514188553,22.1456000144357,1611.93321593131,2453.10885462222,280.138470403497
