lsoa,index,income,employment,education,health,crime,housing,living,incomedeprivationaffectingchildrenindex,incomedeprivationaffectingolderpeopleindex,lat,lon
E01002250,21.885,0.144,0.106,22.428,-0.174,0.602,29.939,24.345,0.207,0.129,51.57263539,0.153776465
E01002251,27.964,0.227,0.14,29.469,0.105,0.483,32.634,13.664,0.351,0.24,51.56456229,0.163724216
E01002252,9.451,0.07,0.07,18.13,-0.811,-0.86,22.712,9.532,0.101,0.066,51.56829043,0.280472685
E01002253,3.03,0.033,0.044,5.272,-1.459,-0.675,14.143,5.666,0.049,0.039,51.57139606,0.254851544
E01002254,3.368,0.029,0.052,5.219,-1.238,-0.341,8.954,6.161,0.033,0.033,51.56383349,0.262612771
E01002255,12.076,0.089,0.073,18.744,-0.615,0.018,24.939,6.742,0.178,0.074,51.56390223,0.240964469
E01002256,5.906,0.059,0.062,13.325,-1.223,-0.827,12.832,6.572,0.093,0.056,51.5638986,0.271963994
E01002257,2.583,0.026,0.029,2.92,-1.598,-0.175,12.042,6.159,0.036,0.038,51.56238284,0.252131284
E01002258,16.322,0.147,0.104,22.67,-0.042,-0.106,14.828,7.865,0.21,0.159,51.56822593,0.269211147
E01002259,6.747,0.07,0.052,13.369,-0.742,-0.458,9.711,10.447,0.096,0.08,51.57785661,0.27147717
E01002260,15.744,0.114,0.083,22.494,-0.579,0.74,19.421,9.829,0.2,0.08,51.54493576,0.186480248
E01002261,17.546,0.129,0.088,27.67,-0.352,0.716,14.75,14.916,0.228,0.099,51.55028083,0.196088563
E01002262,18.693,0.145,0.118,21.81,0.193,0.143,18.023,10.327,0.184,0.216,51.54659165,0.195014802
E01002263,8.288,0.054,0.065,17.822,-0.747,0.073,14.21,6.687,0.094,0.058,51.53664566,0.206377647
E01002264,33.416,0.289,0.181,34.131,0.631,0.25,22.397,20.741,0.389,0.32,51.54334639,0.199043705
E01002265,11.001,0.078,0.073,12.894,-0.416,0.097,18.112,15.139,0.099,0.107,51.54105835,0.210371102
E01002266,15.741,0.093,0.096,32.72,-0.378,0.42,12.664,12.203,0.161,0.088,51.54067512,0.190218675
E01002267,26.236,0.211,0.152,33.611,0.182,0.383,21.217,13.327,0.316,0.221,51.53969655,0.19624237
E01002268,13.888,0.101,0.088,16.226,-0.62,0.395,22.564,9.593,0.143,0.115,51.58319669,0.235744683
E01002269,11.466,0.088,0.072,14.416,-0.717,-0.618,29.974,8.32,0.121,0.103,51.57776027,0.241351229
E01002270,6.206,0.043,0.034,7.876,-1.196,-0.389,29.323,5.117,0.027,0.09,51.57497912,0.223177484
E01002271,7.439,0.043,0.046,10.826,-0.863,-0.569,30.913,5.372,0.085,0.05,51.57466827,0.231453997
E01002272,11.382,0.086,0.086,12.594,-0.343,0.068,9.33,16.807,0.123,0.107,51.57443317,0.207435498
E01002273,9.83,0.065,0.07,18.418,-0.631,-0.759,26.084,5.035,0.083,0.081,51.57023943,0.240598002
E01002274,8.673,0.061,0.079,10.481,-0.9,-0.205,21.482,6.563,0.071,0.061,51.5721089,0.214708485
E01002275,6.526,0.038,0.055,12.542,-0.831,-0.383,21.058,7.616,0.044,0.046,51.56728813,0.22860002
E01002278,36.936,0.283,0.187,50.603,0.344,0.916,27.934,8.862,0.391,0.317,51.61047079,0.224598791
E01002279,28.237,0.215,0.148,36.808,0.273,0.575,26.308,11.703,0.264,0.302,51.61000967,0.236184753
E01002280,48.365,0.349,0.228,55.063,0.871,1.1,35.751,8.55,0.442,0.379,51.60891204,0.216240088
E01002281,42.407,0.303,0.252,44.984,0.679,0.89,26.401,12.461,0.376,0.313,51.60666055,0.231453491
E01002282,44.571,0.318,0.228,52.178,0.602,1.302,27.371,11.786,0.403,0.284,51.60664782,0.221194336
E01002283,30.126,0.219,0.153,41.37,0.255,0.727,25.613,16.292,0.266,0.347,51.60244796,0.238837387
E01002284,30.582,0.204,0.158,37.371,0.291,1.233,23.099,10.169,0.26,0.239,51.60381498,0.220402346
E01002285,9.56,0.072,0.063,18.476,-0.357,-0.124,15.425,8.167,0.068,0.114,51.54855716,0.218445462
E01002286,7.171,0.051,0.059,12.863,-0.879,-0.511,22.582,6.013,0.077,0.061,51.54859754,0.208800579
E01002287,9.794,0.062,0.064,19.155,-0.813,0.292,13.261,13.572,0.092,0.064,51.54855316,0.203499682
E01002288,7.204,0.055,0.054,14.652,-1.048,-0.479,22.195,6.65,0.092,0.06,51.54493157,0.21387105
E01002289,10.517,0.089,0.073,16.636,-0.71,0.221,13.412,7.997,0.109,0.119,51.55585621,0.232242087
E01002290,8.71,0.068,0.068,14.495,-0.69,0.242,9.878,6.957,0.111,0.08,51.55250156,0.222923588
E01002291,10.977,0.086,0.07,12.069,-0.739,-0.05,14.143,26.858,0.185,0.092,51.55358346,0.215813674
E01002292,20.598,0.147,0.127,26.921,-0.002,0.544,20.45,7.316,0.201,0.153,51.55251732,0.23133787
E01002293,16.071,0.115,0.091,13.581,-0.247,0.13,25.94,21.516,0.134,0.138,51.59352437,0.223253099
E01002294,10.453,0.088,0.073,10.716,-0.298,-0.219,18.087,12.093,0.092,0.133,51.59018481,0.242438438
E01002295,14.555,0.118,0.087,15.012,-0.355,0.18,24.794,9.51,0.157,0.165,51.58947528,0.226522296
E01002296,16.128,0.081,0.08,17.547,-0.453,0.768,30.715,11.98,0.086,0.101,51.59081558,0.257732554
E01002297,42.097,0.306,0.262,37.524,0.862,0.465,29.394,13.067,0.4,0.284,51.60069691,0.225290808
E01002298,15.287,0.105,0.093,17.137,-0.185,0.339,21.775,12.39,0.161,0.112,51.59803788,0.239671571
E01002299,22.395,0.164,0.117,28.233,-0.237,0.735,24.973,13.59,0.206,0.248,51.60098794,0.230448125
E01002300,13.56,0.106,0.092,9.002,-0.419,0.621,15.236,12.145,0.184,0.113,51.59582617,0.23108488
E01002301,12.866,0.09,0.094,26.56,-0.745,-0.001,12.787,10.43,0.126,0.074,51.60355346,0.168337887
E01002302,19.887,0.144,0.113,32.202,-0.328,0.688,13.128,13.914,0.23,0.143,51.60266492,0.162399244
E01002303,32.076,0.257,0.181,43.023,0.194,0.07,30.492,12.81,0.386,0.235,51.6021152,0.176627513
E01002304,21.904,0.113,0.103,33.584,0.224,0.453,32.243,11.708,0.153,0.12,51.61449727,0.186946732
E01002305,20.342,0.133,0.107,31.826,0.022,0.772,19.859,7.122,0.201,0.125,51.61548137,0.155954898
E01002306,32.802,0.267,0.189,43.062,0.344,0.124,26.657,12.646,0.358,0.23,51.60637155,0.171688638
E01002307,22.734,0.192,0.127,35.485,-0.109,0.276,21.554,8.121,0.283,0.187,51.60815804,0.166868774
E01002308,28.303,0.226,0.155,34.406,-0.075,0.891,24.995,8.591,0.329,0.209,51.60426329,0.153851751
E01002309,24.213,0.18,0.146,25.713,0.146,0.801,16.644,13.171,0.242,0.194,51.59859629,0.206273556
E01002310,41.247,0.274,0.244,35.178,0.909,1.098,27.755,11.199,0.333,0.31,51.5955661,0.215316455
E01002311,28.59,0.214,0.169,37.468,0.262,0.464,25.07,9.481,0.25,0.24,51.59951905,0.201551497
E01002312,33.968,0.212,0.172,39.758,0.354,1.136,33.422,12.343,0.331,0.173,51.61605959,0.213182753
E01002313,33.292,0.254,0.192,36.914,0.227,0.226,34.259,16.397,0.3,0.288,51.60814512,0.207486763
E01002314,39.982,0.306,0.198,44.566,0.539,1.231,27.894,8.294,0.405,0.361,51.60399147,0.213287135
E01002315,26.599,0.173,0.148,38.629,0.236,0.837,20.041,12.233,0.19,0.244,51.60150395,0.208800705
E01002316,43.109,0.339,0.22,50.383,0.592,0.853,29.884,9.812,0.484,0.357,51.59972343,0.216055119
E01002317,6.804,0.04,0.047,13.184,-0.872,0.284,14.297,9.482,0.037,0.067,51.5705001,0.203475294
E01002318,9.792,0.089,0.068,16.445,-0.819,0.121,11.675,9.137,0.149,0.086,51.566986,0.209888504
E01002319,17.73,0.147,0.118,17.419,-0.13,-0.011,19.686,16.321,0.225,0.172,51.56544031,0.192228576
E01002320,8.722,0.071,0.054,16.585,-0.573,0.034,11.631,12.539,0.121,0.108,51.56695845,0.199460278
E01002321,10.206,0.056,0.067,15.872,-0.778,0.562,16.71,11.084,0.051,0.082,51.56336728,0.203647164
E01002322,9.333,0.078,0.056,21.84,-0.934,-0.253,17.623,9.541,0.15,0.083,51.55737698,0.190128198
E01002323,11.297,0.069,0.065,21.443,-0.758,0.057,22.463,13.372,0.092,0.096,51.56228584,0.187885778
E01002324,21.876,0.15,0.13,30.006,0.105,0.44,23.608,7.575,0.182,0.19,51.55920265,0.2002083
E01002325,28.471,0.226,0.152,46.536,0.38,0.216,20.661,10.488,0.333,0.235,51.59168973,0.155098589
E01002326,22.398,0.192,0.137,28.972,0.037,0.076,15.366,17.655,0.257,0.181,51.59711034,0.160227834
E01002327,14.049,0.101,0.085,25.195,-0.425,-0.428,22.331,13.828,0.118,0.155,51.59454382,0.16569043
E01002328,12.663,0.087,0.074,19.524,-0.668,0.629,15.185,10.871,0.143,0.094,51.58853429,0.166482217
